data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
4568158,716,ZIM6243,6243,1/28/2019,2019,1,Protests,Protest with intervention,Protesters (Zimbabwe),ZANU-PF: Zimbabwe African National Union-Patriotic Front,6,Police Forces of Zimbabwe (2017-),,1,16,Southern Africa,Zimbabwe,Masvingo,Masvingo,Masvingo Municipality,Masvingo,-20.0833,30.8333,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 28th, Zanu-PF youths stormed the local authority' offices during a full council meeting protesting against Ward 4 councillor Gofrey Kurauone and Ward 5 councillor Daniel Mberikunashe whom they accuse of stealing council money. The protesters were blocked by armed anti-riot police from disrupting council business.",0,1552576407,ZWE
4568400,716,ZIM6248,6248,1/27/2019,2019,1,Violence against civilians,Attack,Military Forces of Zimbabwe (1987-2017),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Harare,-17.8333,31.05,1,Guardian,International,"On Jan 27th, some people were seized by uniformed men and driven to a remote area, where they were beaten wooden clubs, whips made with metal wire and iron rods. Military implicated through police files obtained by the source. A 22-year-old managed to get home but died in hospital the following day.",1,1552576407,ZWE
4568766,716,ZIM6241,6241,1/25/2019,2019,2,Violence against civilians,Sexual violence,Police Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Bulawayo,Bulawayo,Bulawayo City Council,Bulawayo,-20.15,28.58,1,Chronicle (Zimbabwe),National,"Around Jan 25th (date not specified), two Bulawayo women were beaten by soldiers and police and then forced to perform unprotected intercourse with a security guard.",0,1552576407,ZWE
4568905,716,ZIM6242,6242,1/25/2019,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Zimbabwe),,3,Civilians (Zimbabwe),,7,37,Southern Africa,Zimbabwe,Midlands,Kwekwe,Zibagwe RDC,Zhombe,-18.6666,29.1667,1,Chronicle (Zimbabwe),National,"On Jan 25th, a machete and knobkerrie wielding gang besieged a night spot in Zhombe and randomly attacekd people in the bar. One person was killed, several others remained injured.",1,1552576408,ZWE
4569695,716,ZIM6238,6238,1/22/2019,2019,1,Violence against civilians,Attack,Military Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Midlands,Gweru,Gweru City Council,Gweru,-19.45,29.82,1,Southern Eye,National,"On Jan 22nd, members of the Zimbabwe National Army beat up vendors in Gweru accusing them of illegally operating on the streets and participating in protests over fuel price hikes.",0,1552576408,ZWE
4569924,716,ZIM6239,6239,1/22/2019,2019,1,Violence against civilians,Attack,Military Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Bulawayo,Bulawayo,Bulawayo City Council,Bulawayo,-20.15,28.58,1,Harare24,Subnational,"On Jan 22nd, members of the Zimbabwe Defense Forces and the Zimbabwe Republic Police went door to door in Bulawayo suburb of Mabuthweni forcing all males to come out, making them lie down and then beating them with baton sticks and fan belts.",0,1552576409,ZWE
4569696,716,ZIM6240,6240,1/22/2019,2019,1,Violence against civilians,Attack,Military Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Harare,-17.8333,31.05,1,Daily News (Zimbabwe),National,"On Jan 22nd, the military and police of assaulted 28 people who were receiving treatment in a non-profit hospital after suffering severe injuries in previous beatings. After assaulting them, they detained people at Harare Central.",0,1552576408,ZWE
4570374,716,ZIM6236,6236,1/20/2019,2019,1,Violence against civilians,Attack,Military Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Harare,-17.8333,31.05,1,New Zimbabwe,National,"On Jan 20th, soldiers beat up male residents of Warren Park in a door-to-door operation. This followed the stabbing to death of an army officer in the same suburb by a fellow soldier during a row over a professional sex worker.",0,1552576409,ZWE
4570375,716,ZIM6237,6237,1/20/2019,2019,1,Violence against civilians,Attack,Military Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Mashonaland East,Goromonzi,Goromonzi RDC,Ruwa,-17.9,31.25,1,iHarare,Subnational,"On Jan 20th, people from Ruwa were assaulted by military forces. People were forced to lie down, were kicked and gun butted in the head and assaulted with weapons which included logs all over their bodies. Two women in their sixties were ordered to take turns slapping each other until they both started crying before being ordered to lie down for further abuse.",0,1552576409,ZWE
4570689,716,ZIM6230,6230,1/19/2019,2019,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Zimbabwe),ZANU-PF: Zimbabwe African National Union-Patriotic Front,3,Civilians (Zimbabwe),MDC: Movement for Democratic Change,7,37,Southern Africa,Zimbabwe,Harare,Harare,Chitungwiza Urban,Chitungwiza,-18.0127,31.0756,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 19th, unknown men abducted the brother of an MDC leader from his house in Chityngwiza as ransom.",0,1552576410,ZWE
4570862,716,ZIM6229,6229,1/18/2019,2019,1,Violence against civilians,Abduction/forced disappearance,Military Forces of Zimbabwe (2017-),ZANU-PF: Zimbabwe African National Union-Patriotic Front,1,Civilians (Zimbabwe),CiZC: Crisis in Zimbabwe Coalition,7,17,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Harare,-17.8333,31.05,1,Harare24,National,"On Jan 18th, the mother of the Crisis in Zimbabwe Coalition (CiZC) leader Rashid Mahiya was abducted by soldiers when they failed to locate her son at her home in Harare.",0,1552576410,ZWE
4571056,716,ZIM6234,6234,1/18/2019,2019,2,Violence against civilians,Attack,Military Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Harare,-17.8333,31.05,1,iHarare,Subnational,"Around Jan 18th, a 16-year-old girl was attacked by state security agents following violent demonstrations over fuel price hikes.",0,1552576410,ZWE
4571057,716,ZIM6235,6235,1/18/2019,2019,1,Riots,Mob violence,Rioters (Zimbabwe),Migrants (Zimbabwe),5,Civilians (Zimbabwe),,7,57,Southern Africa,Zimbabwe,Matabeleland South,Beitbridge,Beitbridge Town Council,Beitbridge,-22.2167,29.9833,2,Chronicle (Zimbabwe),National,"On Jan 18th, a man was assaulted, disarmed and killed by a group of illegal immigrants he attempted to rob at gun point at the confluence of Umzingwane and Limpopo rivers.",1,1552576410,ZWE
4571160,716,ZIM6228,6228,1/17/2019,2019,1,Riots,Violent demonstration,Rioters (Zimbabwe),ZCTU: Zimbabwe Congress of Trade Unions,5,Police Forces of Zimbabwe (2017-),,1,15,Southern Africa,Zimbabwe,Mashonaland East,Marondera,Marondera Municipality,Marondera,-18.1833,31.55,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 17th, 18 protestors invaded and ransacked a police station in Marondera over fuel price hikes. ZCTU had issued calls for nationwide protests.",0,1552576410,ZWE
4571368,716,ZIM6233,6233,1/17/2019,2019,2,Violence against civilians,Sexual violence,Military Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Harare,-17.8333,31.05,1,Harare24,Subnational,Around Jan 17th (date not specified) other two women in Harare were raped by some soldiers accusing them of hiding riotous people and criminals at their houses.,0,1552576410,ZWE
4571414,716,ZIM6216,6216,1/16/2019,2019,2,Strategic developments,Looting/property destruction,Unidentified Armed Group (Zimbabwe),,3,Civilians (Zimbabwe),,7,37,Southern Africa,Zimbabwe,Bulawayo,Bulawayo,Bulawayo,Nketa,-20.1854,28.524,1,Bulawayo24 (Zimbabwe),Subnational,"Around Jan 16th (exact date not reported), a white pickup truck moving from Nketa and Emganwini dropped off men in civilian clothing who started looting and burning various shops.",0,1552576411,ZWE
4571449,716,ZIM6217,6217,1/16/2019,2019,1,Protests,Protest with intervention,Protesters (Zimbabwe),ZCTU: Zimbabwe Congress of Trade Unions,6,Police Forces of Zimbabwe (2017-),Military Forces of Zimbabwe (2017-),1,16,Southern Africa,Zimbabwe,Harare,Harare,Epworth Local Board,Epworth,-17.8794,31.1244,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 16th, protests were recorded over fuel price hikes in Epworth amidst heavy soldier deployment. ZCTU had issued calls for nationwide protests.",0,1552576411,ZWE
4571450,716,ZIM6215,6215,1/16/2019,2019,1,Violence against civilians,Attack,ZANU-PF: Zimbabwe African National Union-Patriotic Front,,3,Civilians (Zimbabwe),MDC: Movement for Democratic Change,7,37,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Harare,-17.8333,31.05,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 16th, armed Zanu-PF youth patrolled suburbs and assaulted suspected MDC supporters, forcing them to flee their homes. The father of the opposition MDC MP for Harare was beaten by suspected ZANU-PF men and left hospitalised.",0,1552576411,ZWE
4571451,716,ZIM6220,6220,1/16/2019,2019,1,Protests,Protest with intervention,Protesters (Zimbabwe),ZCTU: Zimbabwe Congress of Trade Unions,6,Police Forces of Zimbabwe (2017-),Military Forces of Zimbabwe (2017-),1,16,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Highfield,-17.8858,30.9919,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 16th, protests were recorded over fuel price hikes in Highfield amidst heavy soldier deployment. ZCTU had issued calls for nationwide protests.",0,1552576411,ZWE
4571452,716,ZIM6226,6226,1/16/2019,2019,1,Riots,Violent demonstration,Rioters (Zimbabwe),ZCTU: Zimbabwe Congress of Trade Unions,5,Police Forces of Zimbabwe (2017-),,1,15,Southern Africa,Zimbabwe,Mashonaland Central,Mazowe,Mazowe RDC,Mvurwi,-17.0333,30.85,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 16th, in Mvurwi, rioters tried to take over a police station in continued protests over fuel price hikes. ZCTU had issued calls for nationwide protests.",0,1552576411,ZWE
4571453,716,ZIM6222,6222,1/16/2019,2019,1,Riots,Violent demonstration,Rioters (Zimbabwe),ZCTU: Zimbabwe Congress of Trade Unions,5,Police Forces of Zimbabwe (2017-),Military Forces of Zimbabwe (2017-),1,15,Southern Africa,Zimbabwe,Mashonaland East,Goromonzi,Goromonzi RDC,Mabvuku,-17.85,31.1833,1,Newsday (Zimbabwe),National,"On Jan 16th, on the third day of protests against fuel price hikes, police and soldiers engaged in running battles with rioters who had barricaded streets. One was killed in Mabvuku. ZCTU had issued calls for nationwide protests.",1,1552576411,ZWE
4571454,716,ZIM6214,6214,1/16/2019,2019,1,Violence against civilians,Attack,Police Forces of Zimbabwe (2017-),Military Forces of Zimbabwe (2017-),1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Mashonaland East,Marondera,Marondera Municipality,Marondera,-18.1833,31.55,1,Newsday (Zimbabwe),National,"On Jan 16th, on the third day of protests against fuel price hikes, police and soldiers went door to door in Mabvuku, Kuwaduana and Marondera of Mashonaland beating people up and forcing them to remove barricades in the streets.",0,1552576411,ZWE
4571455,716,ZIM6224,6224,1/16/2019,2019,1,Riots,Violent demonstration,Rioters (Zimbabwe),ZCTU: Zimbabwe Congress of Trade Unions,5,Police Forces of Zimbabwe (2017-),Military Forces of Zimbabwe (2017-),1,15,Southern Africa,Zimbabwe,Mashonaland East,Marondera,Marondera Municipality,Marondera,-18.1833,31.55,1,Newsday (Zimbabwe),National,"On Jan 16th, on the third day of protests against fuel price hikes, police and soldiers engaged in running battles with rioters who had barricaded streets. One was killed in Marondera. ZCTU had issued calls for nationwide protests.",1,1552576411,ZWE
4571456,716,ZIM6213,6213,1/16/2019,2019,1,Violence against civilians,Attack,Police Forces of Zimbabwe (2017-),Military Forces of Zimbabwe (2017-),1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Mashonaland West,Chegutu,Norton Town Council,Kuwadzana,-17.8253,30.9311,1,Newsday (Zimbabwe),National,"On Jan 16th, on the third day of protests against fuel price hikes, police and soldiers went door to door in Mabvuku, Kuwaduana and Marondera of Mashonaland beating people up and forcing them to remove barricades in the streets.",0,1552576411,ZWE
4571457,716,ZIM6223,6223,1/16/2019,2019,1,Riots,Violent demonstration,Rioters (Zimbabwe),ZCTU: Zimbabwe Congress of Trade Unions,5,Police Forces of Zimbabwe (2017-),Military Forces of Zimbabwe (2017-),1,15,Southern Africa,Zimbabwe,Mashonaland West,Chegutu,Norton Town Council,Kuwadzana,-17.8253,30.9311,1,Newsday (Zimbabwe),National,"On Jan 16th, on the third day of protests against fuel price hikes, police and soldiers engaged in running battles with rioters who had barricaded streets. Two were killed in Kuwadzana. ZCTU had issued calls for nationwide protests.",2,1552576411,ZWE
4571458,716,ZIM6221,6221,1/16/2019,2019,1,Protests,Protest with intervention,Protesters (Zimbabwe),ZCTU: Zimbabwe Congress of Trade Unions,6,Police Forces of Zimbabwe (2017-),Military Forces of Zimbabwe (2017-),1,16,Southern Africa,Zimbabwe,Matabeleland North,Umguza,Umguza RDC,Pumula-Luveve,-20.1444,28.4733,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 16th, protests were recorded over fuel price hikes in Pumula amidst heavy soldier deployment. ZCTU had issued calls for nationwide protests.",0,1552576411,ZWE
4571635,716,ZIM6208,6208,1/16/2019,2019,2,Battles,Armed clash,Military Forces of Zimbabwe (2017-),ZANU-PF: Zimbabwe African National Union-Patriotic Front,1,Bulawayo Communal Militia (Zimbabwe),,4,14,Southern Africa,Zimbabwe,Bulawayo,Bulawayo,Bulawayo City Council,Bulawayo,-20.15,28.58,1,Bulawayo24 (Zimbabwe),Subnational,Around Jan 16th (exact date not reported) a looting soldier wearing civilian clothing was shot by a businessman in Bulawayo.,0,1552576411,ZWE
4571636,716,ZIM6211,6211,1/16/2019,2019,1,Violence against civilians,Attack,Police Forces of Zimbabwe (2017-),Military Forces of Zimbabwe (2017-),1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Bulawayo,Bulawayo,Bulawayo City Council,Bulawayo,-20.15,28.58,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 16th, on the third day of protests against fuel price hikes, reports of police and soldiers going door to door in Harare and Bulawayo beating people up.",0,1552576411,ZWE
4571637,716,ZIM6218,6218,1/16/2019,2019,1,Protests,Protest with intervention,Protesters (Zimbabwe),ZCTU: Zimbabwe Congress of Trade Unions,6,Police Forces of Zimbabwe (2017-),Military Forces of Zimbabwe (2017-),1,16,Southern Africa,Zimbabwe,Harare,Harare,Chitungwiza Urban,Chitungwiza,-18.0127,31.0756,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 16th, protests were recorded over fuel price hikes in Chtungwuiza amidst heavy soldier deployment. ZCTU had issued calls for nationwide protests.",0,1552576411,ZWE
4571638,716,ZIM6209,6209,1/16/2019,2019,2,Strategic developments,Arrests,Police Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Harare,-17.8333,31.05,3,Bulawayo24 (Zimbabwe),Subnational,"Jan 14-16th, at least 600 people were arrested natiowide in connection with riotous acts over fuel price hikes.",0,1552576411,ZWE
4571639,716,ZIM6210,6210,1/16/2019,2019,1,Violence against civilians,Attack,Police Forces of Zimbabwe (2017-),Military Forces of Zimbabwe (2017-),1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Harare,-17.8333,31.05,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 16th, on the third day of protests against fuel price hikes, reports of police and soldiers going door to door in Harare and Bulawayo beating people up.",0,1552576411,ZWE
4571640,716,ZIM6227,6227,1/16/2019,2019,2,Riots,Violent demonstration,Rioters (Zimbabwe),ZCTU: Zimbabwe Congress of Trade Unions,5,Police Forces of Zimbabwe (2017-),Military Forces of Zimbabwe (2017-),1,15,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Harare,-17.8333,31.05,3,Zimbabwe Human Rights NGO Forum,National,Jan 14-16: Another three people killed in clashes between rioters and police and soldiers at unclear locations in Zimbabwe in the context of protests against fuel price hikes held since January 14th. ZCTU had issued calls for nationwide protests.,3,1552576411,ZWE
4571641,716,ZIM6212,6212,1/16/2019,2019,1,Violence against civilians,Attack,Police Forces of Zimbabwe (2017-),Military Forces of Zimbabwe (2017-),1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Mashonaland East,Goromonzi,Goromonzi RDC,Mabvuku,-17.85,31.1833,1,Newsday (Zimbabwe),National,"On Jan 16th, on the third day of protests against fuel price hikes, police and soldiers went door to door in Mabvuku, Kuwaduana and Marondera of Mashonaland beating people up and forcing them to remove barricades in the streets.",0,1552576411,ZWE
4571642,716,ZIM6219,6219,1/16/2019,2019,1,Protests,Protest with intervention,Protesters (Zimbabwe),ZCTU: Zimbabwe Congress of Trade Unions,6,Police Forces of Zimbabwe (2017-),Military Forces of Zimbabwe (2017-),1,16,Southern Africa,Zimbabwe,Mashonaland East,Goromonzi,Goromonzi RDC,Tafara-Mabvuku,-17.8353,31.2111,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 16th, protests were recorded over fuel price hikes in Tafara amidst heavy soldier deployment. ZCTU had issued calls for nationwide protests.",0,1552576411,ZWE
4571643,716,ZIM6225,6225,1/16/2019,2019,1,Riots,Violent demonstration,Rioters (Zimbabwe),ZCTU: Zimbabwe Congress of Trade Unions,5,Military Forces of Zimbabwe (2017-),,1,15,Southern Africa,Zimbabwe,Mashonaland West,Makonde,Chinhoyi Municipality,Chinhoyi,-17.3666,30.2,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 16th, soldiers tried to chase people away from the Gwaya Gwaya shopping centre in Chinhoyi and protesters reacted stoning vehicles and burning tyres. ZCTU had issued calls for nationwide protests over fuel price hikes.",0,1552576411,ZWE
4571651,716,ZIM6231,6231,1/16/2019,2019,2,Strategic developments,Arrests,Police Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Bulawayo,Bulawayo,Bulawayo City Council,Bulawayo,-20.15,28.58,1,Chronicle (Zimbabwe),National,"Around Jan 16th, during violent demonstrations over fuel price hikes, a total of 491 suspected looters have been arrested in Bulawayo.",0,1552576411,ZWE
4571656,716,ZIM6232,6232,1/16/2019,2019,1,Violence against civilians,Attack,Police Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Harare,-17.8333,31.05,1,Standard Digital,National,"On Jan 16th, on the last day of a stay-at-home strike over a hike in fuel prices, police fired teargas to disperse a crowd queuing for bread at a shopping center near central Harare. No fatalities have been reported.",0,1552576411,ZWE
4571657,716,ZIM6252,6252,1/16/2019,2019,1,Violence against civilians,Attack,Military Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Harare,Harare,Epworth Local Board,Epworth,-17.8794,31.1244,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 16th, in Epworth, during protests over fuel hikes, soldiers assaulted a 38-year-old man heading home.",0,1552576411,ZWE
4571727,716,ZIM6204,6204,1/15/2019,2019,1,Violence against civilians,Attack,Police Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Bulawayo,Bulawayo,Bulawayo City Council,Bulawayo,-20.15,28.58,1,AFP,International,"On Jan 15th, reports that police beat people venturing outside their homes in Bulawayo. Violent protests were held in the town over fuel price hikes the same day.",0,1552576411,ZWE
4571728,716,ZIM6205,6205,1/15/2019,2019,1,Riots,Violent demonstration,Rioters (Zimbabwe),ZCTU: Zimbabwe Congress of Trade Unions,5,Police Forces of Zimbabwe (2017-),,1,15,Southern Africa,Zimbabwe,Bulawayo,Bulawayo,Bulawayo City Council,Bulawayo,-20.15,28.58,1,AFP,International,"On Jan 15, protests reported over fuel price hikes in Bulawayo. The demonstrators barricaded roads and looted shops while police fired tear gas to disperse them. ZCTU had issued calls for nationwide protests.",0,1552576411,ZWE
4571729,716,ZIM6202,6202,1/15/2019,2019,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Zimbabwe),,3,Civilians (Zimbabwe),,7,37,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Harare,-17.8333,31.05,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 15th, a number (not specified) of Harare men were abducted from their homes by masked men in plain clothes carrying AK47 rifles.",0,1552576411,ZWE
4571730,716,ZIM6203,6203,1/15/2019,2019,1,Violence against civilians,Attack,Police Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Harare,-17.8333,31.05,1,AFP,International,"On Jan 15th, reports that police beat people venturing outside their homes in Harare. Violent protests were held in the capital over fuel price hikes the day before.",0,1552576411,ZWE
4571731,716,ZIM6207,6207,1/15/2019,2019,1,Riots,Violent demonstration,Rioters (Zimbabwe),ZCTU: Zimbabwe Congress of Trade Unions,5,,,0,50,Southern Africa,Zimbabwe,Manicaland,Mutare,Mutare City Council,Sakubva,-18.9833,32.6167,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 15th, in Sakubva, protesters blocked the entrance to the bus terminus. They also blocked the road to and from the city centre by heaping stones and burning tyres, bringing traffic to a halt. ZCTU had issued calls for nationwide protests.",0,1552576411,ZWE
4571926,716,ZIM6206,6206,1/15/2019,2019,1,Riots,Violent demonstration,Rioters (Zimbabwe),ZCTU: Zimbabwe Congress of Trade Unions,5,Police Forces of Zimbabwe (2017-),,1,15,Southern Africa,Zimbabwe,Manicaland,Mutare,Mutare City Council,Mutare,-18.9666,32.6667,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 15th, violent protests against fuel prices hikes expanded to Mutare. In Chikanga suburb, police has been reportedly stoned upon intervening. ZCTU had issued calls for nationwide protests.",0,1552576411,ZWE
4571999,716,ZIM6201,6201,1/14/2019,2019,1,Riots,Violent demonstration,Rioters (Zimbabwe),ZCTU: Zimbabwe Congress of Trade Unions,5,Civilians (Zimbabwe),,7,57,Southern Africa,Zimbabwe,Matabeleland North,Umguza,Umguza RDC,Pumula-Luveve,-20.1444,28.4733,1,Bulawayo24 (Zimbabwe),Subnational,"On Jan 14th, in Pumula, rioters protesting the fuel price hikes beat people roaming in the streets. ZCTU had issued calls for nationwide protests.",0,1552576411,ZWE
